Date,Daily Confirmed,False Positives Found,Cumulative Confirmed,Daily Discharged,Passed but not due to COVID,Cumulative Discharged,Discharged to Isolation,Still Hospitalised,Daily Deaths,Cumulative Deaths,Tested positive demise,Daily Imported,Daily Local transmission,Local cases residing in dorms MOH report,Local cases not residing in doms MOH report,Intensive Care Unit (ICU),General Wards MOH report,In Isolation MOH report,Total Completed Isolation MOH report,Total Hospital Discharged MOH report,Requires Oxygen Supplementation or Unstable,Linked community cases,Unlinked community cases,Phase,Cumulative Vaccine Doses,Cumulative Individuals Vaccinated,Cumulative Individuals Vaccination Completed,Perc population completed at least one dose,Perc population completed vaccination,Sinovac vaccine doses,Cumulative individuals using Sinovac vaccine,Doses of other vaccines recognised by WHO,Cumulative individuals using other vaccines recognised by WHO,Number taken booster shots,Perc population taken booster shots
01-04-2020,74,,1000,5,0,245,291,461,0,3,0,20,54,11,43,24,437,291,34,211,,,,,,,,,,,,,,,
02-04-2020,49,,1049,21,0,266,315,464,1,4,0,8,41,7,34,23,441,315,42,224,,,,,,,,,,,,,,,
03-04-2020,65,,1114,16,0,282,354,473,1,5,0,9,56,22,34,25,448,354,47,235,,,,,,,,,,,,,,,
04-04-2020,75,,1189,15,0,297,386,500,1,6,0,6,69,23,45,26,474,386,55,242,,,,,,,,,,,,,,,
05-04-2020,120,,1309,23,0,320,414,569,0,6,0,4,116,57,59,25,544,414,68,252,,,,,,,,,,,,,,,
06-04-2020,66,,1375,24,0,344,454,571,0,6,0,1,65,38,27,25,546,454,81,263,,,,,,,,,,,,,,,
07-04-2020,106,,1481,33,0,377,471,627,0,6,0,3,103,46,57,29,598,471,101,276,,,,Circuit Breaker,,,,,,,,,,,
08-04-2020,142,,1623,29,0,406,542,669,0,6,0,2,140,65,75,29,640,542,115,291,,,,Circuit Breaker,,,,,,,,,,,
09-04-2020,287,,1910,54,1,460,559,885,0,6,0,3,284,214,70,29,856,559,146,314,,,,Circuit Breaker,,,,,,,,,,,
10-04-2020,198,,2108,32,0,492,734,875,1,7,0,0,198,141,57,32,845,734,172,318,,,,Circuit Breaker,,,,,,,,,,,
11-04-2020,191,,2299,35,0,527,820,944,1,8,0,0,191,152,39,31,914,820,199,327,,,,Circuit Breaker,,,,,,,,,,,
12-04-2020,233,,2532,32,0,559,988,977,0,8,0,0,233,188,45,31,947,988,217,341,,,,Circuit Breaker,,,,,,,,,,,
13-04-2020,386,,2918,26,0,585,1165,1159,1,9,0,0,386,334,52,29,1131,1165,239,345,,,,Circuit Breaker,,,,,,,,,,,
14-04-2020,334,,3252,25,0,610,1316,1316,1,10,0,0,334,275,59,28,1289,1316,259,350,,,,Circuit Breaker,,,,,,,,,,,
15-04-2020,447,,3699,41,0,651,1540,1497,0,10,1,0,447,406,41,26,1473,1541,284,365,,,,Circuit Breaker,,,,,,,,,,,
16-04-2020,728,,4427,31,0,682,1848,1886,0,10,0,0,728,676,52,23,1866,1848,309,371,,,,Circuit Breaker,,,,,,,,,,,
17-04-2020,623,,5050,25,0,707,2218,2113,1,11,0,1,622,559,63,22,2095,2218,312,392,,,,Circuit Breaker,,,,,,,,,,,
18-04-2020,942,,5992,38,0,745,2678,2557,0,11,0,0,942,893,49,23,2538,2683,331,406,,,,Circuit Breaker,,,,,,,,,,,
19-04-2020,596,,6588,26,0,771,2888,2917,0,11,0,0,596,544,52,22,2899,2893,339,424,,,,Circuit Breaker,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
